ID,Song Name,Artist,BPM,Language,Mood Target,Stress Level,Pain Relief,Type,Duration,Evidence Based
281,Shape of You,Coldplay,77,Instrumental,Anxiety Relief,High,No,Lo-fi,7:12,Yes
282,River Flows in You,Yiruma,113,Korean,Anxiety Relief,Low,Yes,Classical,5:50,No
283,Lovely,Billie Eilish,50,Korean,Depression Support,Low,No,Acoustic,3:11,Partial
284,Hallelujah,Adele,114,Korean,Anxiety Relief,Medium,Yes,Lo-fi,7:24,No
285,Believer,Arijit Singh,92,Instrumental,Stress Relief,High,Yes,Classical,4:16,No
286,Tum Hi Ho,Yiruma,170,English,Stress Relief,Low,No,Ambient,8:53,Yes
287,Nuvole Bianche,A R Rahman,120,Instrumental,Depression Support,Low,No,Devotional,8:42,Partial
288,Hallelujah,Ed Sheeran,82,Korean,Stress Relief,Low,No,Devotional,4:54,Yes
289,Let It Be,Imagine Dragons,121,Korean,Sleep Aid,Medium,No,Ambient,2:09,Partial
290,Kun Faya Kun,Coldplay,132,Korean,Stress Relief,Low,Yes,Ambient,6:45,Partial
291,Shallow,Adele,91,English,Period Pain Relief,Low,Yes,Lo-fi,3:39,Yes
292,Sunflower,Lady Gaga,62,Tamil,Depression Support,Low,No,Classical,5:05,No
293,Nuvole Bianche,Yiruma,59,Hindi,Stress Relief,Low,No,Ambient,7:17,Yes
294,River Flows in You,Lady Gaga,121,English,Stress Relief,Medium,No,Pop,6:17,No
295,River Flows in You,Ed Sheeran,119,Tamil,Sleep Aid,Medium,Yes,Lo-fi,2:13,Partial
296,Tum Hi Ho,A R Rahman,104,Instrumental,Anxiety Relief,Medium,No,Acoustic,3:25,No
297,Believer,Leonard Cohen,73,English,Depression Support,Medium,Yes,Lo-fi,7:39,No
298,Raataan Lambiyan,A R Rahman,149,Instrumental,Sleep Aid,High,No,Ambient,3:55,No
299,Shape of You,Pharrell Williams,80,Korean,Depression Support,Low,No,Pop,5:12,Yes
300,Shallow,Lady Gaga,59,Korean,Period Pain Relief,High,Yes,Devotional,4:19,Yes
301,Believer,Yiruma,68,Tamil,Mood Boost,Medium,Yes,Pop,6:24,Partial
302,Blinding Lights,Leonard Cohen,53,Tamil,Period Pain Relief,Medium,Yes,Ambient,5:53,Yes
303,Kun Faya Kun,Adele,168,Korean,Sleep Aid,Low,Yes,Devotional,4:38,Yes
304,Raataan Lambiyan,A R Rahman,157,Tamil,Anxiety Relief,Low,Yes,Devotional,3:37,Partial
305,Kun Faya Kun,Leonard Cohen,167,Korean,Mood Boost,Low,No,Acoustic,6:21,Yes
306,Kun Faya Kun,Ludovico Einaudi,131,Hindi,Mood Boost,Medium,Yes,Classical,4:25,Yes
307,Hallelujah,Lady Gaga,112,English,Period Pain Relief,Medium,Yes,Lo-fi,8:55,Yes
308,Fix You,Ed Sheeran,90,Tamil,Depression Support,High,No,Devotional,8:18,Partial
309,Tum Hi Ho,Coldplay,156,Instrumental,Period Pain Relief,Low,Yes,Acoustic,3:59,Yes
310,Fix You,The Weeknd,74,Instrumental,Sleep Aid,Low,Yes,Pop,8:55,Partial
311,Believer,Yiruma,118,Tamil,Sleep Aid,Low,Yes,Lo-fi,6:19,Yes
312,Sunflower,Leonard Cohen,138,Hindi,Sleep Aid,Medium,Yes,Acoustic,6:19,No
313,Weightless,Arijit Singh,55,Instrumental,Period Pain Relief,High,Yes,Ambient,7:56,Yes
314,Ocean Eyes,The Weeknd,89,Hindi,Period Pain Relief,High,Yes,Devotional,4:27,Partial
315,Hallelujah,Post Malone,55,Tamil,Sleep Aid,High,No,Ambient,6:54,Partial
316,Fix You,A R Rahman,104,Korean,Period Pain Relief,Low,Yes,Acoustic,5:31,No
317,Let It Be,Arijit Singh,146,English,Mood Boost,Low,No,Classical,7:34,Partial
318,A Sky Full of Stars,Marconi Union,57,Korean,Period Pain Relief,Medium,Yes,Pop,6:50,Yes
319,Perfect,A R Rahman,169,Tamil,Depression Support,Low,No,Ambient,4:07,No
320,Perfect,Ed Sheeran,147,Korean,Sleep Aid,Medium,Yes,Devotional,6:27,Yes
321,Shallow,Ed Sheeran,65,Hindi,Mood Boost,High,Yes,Devotional,8:11,No
322,Nuvole Bianche,Adele,51,Hindi,Depression Support,High,Yes,Ambient,6:26,Partial
323,Lovely,A R Rahman,133,Korean,Period Pain Relief,High,Yes,Pop,4:35,Partial
324,Kun Faya Kun,Post Malone,132,Korean,Mood Boost,Medium,Yes,Ambient,3:55,Yes
325,Believer,Ludovico Einaudi,126,Hindi,Period Pain Relief,Medium,Yes,Acoustic,4:02,Yes
326,Happy,Ludovico Einaudi,99,English,Anxiety Relief,Low,Yes,Classical,6:58,Yes
327,Kun Faya Kun,Marconi Union,136,English,Mood Boost,Medium,Yes,Classical,8:54,No
328,Shallow,The Weeknd,119,English,Mood Boost,Low,No,Lo-fi,7:27,No
329,Blinding Lights,Coldplay,87,Korean,Sleep Aid,Medium,No,Acoustic,8:09,Yes
330,Lovely,A R Rahman,154,Tamil,Depression Support,Low,Yes,Devotional,8:55,No
331,Sunflower,Billie Eilish,107,Korean,Depression Support,High,Yes,Ambient,3:59,No
332,Believer,A R Rahman,79,Tamil,Anxiety Relief,High,Yes,Classical,6:32,Yes
333,Tum Hi Ho,The Weeknd,62,Hindi,Sleep Aid,Low,Yes,Devotional,7:56,Yes
334,Believer,Leonard Cohen,62,Tamil,Sleep Aid,Medium,Yes,Devotional,7:09,Partial
335,Hallelujah,Pharrell Williams,106,Korean,Stress Relief,Low,Yes,Pop,2:04,No
336,Hallelujah,Imagine Dragons,136,Tamil,Period Pain Relief,High,Yes,Classical,2:39,No
337,Happy,Lady Gaga,136,Tamil,Depression Support,High,No,Devotional,3:55,No
338,Kun Faya Kun,Coldplay,147,Instrumental,Period Pain Relief,High,Yes,Ambient,8:17,Yes
339,Sunflower,Leonard Cohen,76,Tamil,Mood Boost,Low,Yes,Pop,2:24,No
340,Ocean Eyes,The Weeknd,87,Tamil,Mood Boost,Medium,No,Pop,4:27,Yes
341,Kun Faya Kun,Leonard Cohen,81,English,Depression Support,Low,No,Ambient,7:34,Partial
342,Raataan Lambiyan,Adele,157,Instrumental,Stress Relief,High,Yes,Classical,6:13,Partial
343,Hallelujah,Ludovico Einaudi,68,English,Anxiety Relief,Medium,Yes,Devotional,7:24,Partial
344,Fix You,Lady Gaga,65,English,Depression Support,Low,No,Lo-fi,4:41,Partial
345,Shallow,Lady Gaga,93,Tamil,Anxiety Relief,Low,No,Acoustic,7:06,Partial
346,A Sky Full of Stars,Leonard Cohen,158,Instrumental,Stress Relief,High,Yes,Lo-fi,4:34,Partial
347,Blinding Lights,Ludovico Einaudi,154,Tamil,Sleep Aid,Low,Yes,Acoustic,7:43,Partial
348,Shape of You,The Beatles,161,Instrumental,Stress Relief,Medium,Yes,Ambient,5:38,Yes
349,Blinding Lights,Yiruma,123,Instrumental,Period Pain Relief,Low,Yes,Acoustic,8:35,No
350,Shape of You,Pharrell Williams,108,Tamil,Depression Support,Low,No,Lo-fi,2:08,Partial
351,Believer,Billie Eilish,152,Hindi,Anxiety Relief,Low,Yes,Pop,2:24,Yes
352,A Sky Full of Stars,Coldplay,154,Instrumental,Depression Support,Medium,No,Lo-fi,8:03,No
353,Raataan Lambiyan,The Beatles,101,Instrumental,Anxiety Relief,High,Yes,Acoustic,4:37,Yes
354,Hallelujah,Pharrell Williams,145,Hindi,Depression Support,Medium,No,Acoustic,4:16,No
355,Weightless,Marconi Union,99,Tamil,Sleep Aid,Low,No,Devotional,6:26,Yes
356,River Flows in You,Lady Gaga,135,Korean,Anxiety Relief,Medium,Yes,Devotional,2:59,No
357,Believer,Ludovico Einaudi,159,Hindi,Sleep Aid,Medium,No,Acoustic,3:09,Partial
358,Someone Like You,Arijit Singh,69,Korean,Stress Relief,Medium,No,Devotional,2:25,No
359,Someone Like You,Coldplay,147,Korean,Mood Boost,Medium,No,Pop,4:07,No
360,Blinding Lights,Post Malone,96,English,Mood Boost,Medium,No,Classical,3:51,No
361,Shallow,Pharrell Williams,156,Tamil,Period Pain Relief,Low,Yes,Classical,8:09,No
362,Lovely,A R Rahman,139,Instrumental,Depression Support,Low,Yes,Lo-fi,5:32,No
363,Let It Be,Coldplay,67,Tamil,Anxiety Relief,Low,No,Ambient,8:09,Partial
364,A Sky Full of Stars,Adele,136,English,Sleep Aid,Medium,Yes,Classical,2:44,No
365,Sunflower,Pharrell Williams,87,Instrumental,Mood Boost,Medium,Yes,Acoustic,2:29,Yes
366,River Flows in You,Ed Sheeran,59,English,Anxiety Relief,Low,Yes,Lo-fi,2:54,No
367,Lovely,Billie Eilish,132,Hindi,Period Pain Relief,Low,Yes,Classical,5:23,No
368,Raataan Lambiyan,Arijit Singh,150,English,Sleep Aid,Medium,No,Acoustic,2:12,No
369,Ocean Eyes,A R Rahman,149,Instrumental,Period Pain Relief,Low,Yes,Classical,3:25,Partial
370,Perfect,Ludovico Einaudi,151,Hindi,Period Pain Relief,Medium,Yes,Pop,8:52,No
371,Weightless,Ludovico Einaudi,166,Instrumental,Sleep Aid,Low,Yes,Acoustic,2:36,Partial
372,Believer,Pharrell Williams,164,Instrumental,Mood Boost,Low,No,Acoustic,6:07,Yes
373,Raataan Lambiyan,Billie Eilish,170,English,Sleep Aid,High,Yes,Classical,4:35,No
374,Nuvole Bianche,Marconi Union,125,English,Mood Boost,Medium,Yes,Classical,6:17,Yes
375,Sunflower,The Beatles,102,Korean,Period Pain Relief,High,Yes,Ambient,2:28,Yes
376,Perfect,Marconi Union,79,Instrumental,Depression Support,High,No,Acoustic,7:47,No
377,Ocean Eyes,Leonard Cohen,57,Hindi,Sleep Aid,Medium,Yes,Ambient,8:40,No
378,Weightless,The Beatles,96,Korean,Depression Support,Low,No,Ambient,3:46,Partial
379,Weightless,The Beatles,60,Korean,Depression Support,Medium,No,Pop,3:18,No
380,Happy,Coldplay,160,Hindi,Anxiety Relief,Low,No,Classical,6:05,Partial
381,Someone Like You,Arijit Singh,144,Hindi,Sleep Aid,High,No,Lo-fi,4:17,No
382,Nuvole Bianche,Lady Gaga,91,Tamil,Anxiety Relief,Low,No,Lo-fi,8:24,Partial
383,Tum Hi Ho,Coldplay,77,Tamil,Depression Support,High,Yes,Acoustic,4:26,Partial
384,Hallelujah,Coldplay,164,English,Stress Relief,Low,Yes,Lo-fi,4:30,Yes
385,A Sky Full of Stars,Pharrell Williams,72,Instrumental,Period Pain Relief,High,Yes,Lo-fi,3:32,Yes
386,Kun Faya Kun,Billie Eilish,68,English,Depression Support,High,No,Lo-fi,8:01,No
387,Sunflower,Pharrell Williams,154,Korean,Depression Support,High,Yes,Acoustic,3:01,Partial
388,Believer,Lady Gaga,138,English,Sleep Aid,Medium,Yes,Acoustic,6:25,Partial
389,Ocean Eyes,Arijit Singh,77,Korean,Sleep Aid,High,Yes,Pop,3:20,Yes
390,Kun Faya Kun,Ludovico Einaudi,109,Korean,Depression Support,Low,No,Pop,6:01,Yes
391,Believer,The Beatles,113,Korean,Stress Relief,Medium,No,Acoustic,6:31,Yes
392,Let It Be,Arijit Singh,166,Instrumental,Stress Relief,Medium,Yes,Classical,2:42,No
393,Perfect,Adele,105,English,Mood Boost,High,Yes,Lo-fi,4:22,Yes
394,Let It Be,Ed Sheeran,160,English,Sleep Aid,High,Yes,Acoustic,8:27,No
395,Kun Faya Kun,The Beatles,135,Instrumental,Sleep Aid,High,No,Acoustic,6:05,No
396,Shape of You,Leonard Cohen,168,Hindi,Anxiety Relief,High,Yes,Pop,6:26,No
397,Shallow,A R Rahman,81,Korean,Mood Boost,Low,Yes,Pop,7:53,Partial
398,Happy,A R Rahman,86,Korean,Mood Boost,High,No,Acoustic,4:54,Yes
399,Believer,A R Rahman,114,Instrumental,Depression Support,Low,No,Acoustic,7:07,No
400,Blinding Lights,Post Malone,131,English,Period Pain Relief,Low,Yes,Ambient,2:16,Yes
401,Let It Be,Lady Gaga,87,Hindi,Period Pain Relief,Low,Yes,Lo-fi,7:08,Partial
402,A Sky Full of Stars,A R Rahman,104,Korean,Depression Support,High,Yes,Classical,4:14,Yes
403,Shallow,Imagine Dragons,72,English,Period Pain Relief,High,Yes,Classical,6:52,No
404,Fix You,Ludovico Einaudi,90,Hindi,Depression Support,Low,No,Acoustic,8:15,Yes
405,Tum Hi Ho,Marconi Union,53,Tamil,Period Pain Relief,Medium,Yes,Ambient,6:21,Yes
406,Blinding Lights,Pharrell Williams,109,Korean,Period Pain Relief,High,Yes,Acoustic,8:01,Yes
407,Blinding Lights,Yiruma,94,English,Sleep Aid,High,No,Classical,8:53,No
408,Blinding Lights,Yiruma,108,Hindi,Anxiety Relief,High,Yes,Pop,7:25,Partial
409,Ocean Eyes,Imagine Dragons,115,Instrumental,Anxiety Relief,Low,Yes,Devotional,6:49,No
410,River Flows in You,Leonard Cohen,120,Hindi,Stress Relief,Medium,Yes,Pop,7:49,No
411,Sunflower,Billie Eilish,82,Hindi,Mood Boost,Low,No,Pop,5:23,No
412,Shape of You,Coldplay,162,Instrumental,Period Pain Relief,High,Yes,Classical,4:42,Yes
413,Shallow,Imagine Dragons,101,Instrumental,Period Pain Relief,High,Yes,Devotional,8:31,Partial
414,Kun Faya Kun,Ed Sheeran,110,Instrumental,Stress Relief,Low,Yes,Ambient,3:23,Partial
415,Tum Hi Ho,A R Rahman,152,Hindi,Sleep Aid,High,No,Pop,3:54,No
416,Believer,Imagine Dragons,135,Hindi,Sleep Aid,High,No,Lo-fi,4:45,Yes
417,Shape of You,Coldplay,54,Instrumental,Depression Support,Medium,No,Pop,6:57,Yes
418,Hallelujah,Ed Sheeran,72,Korean,Stress Relief,Low,No,Ambient,6:41,Partial
419,A Sky Full of Stars,Post Malone,154,English,Mood Boost,Low,Yes,Devotional,2:37,Partial
420,Blinding Lights,Ed Sheeran,126,Korean,Depression Support,Low,No,Ambient,5:03,Partial
421,Let It Be,A R Rahman,111,English,Depression Support,Low,Yes,Pop,5:41,Yes
422,Believer,Ed Sheeran,98,Korean,Period Pain Relief,High,Yes,Lo-fi,7:24,Yes
423,Sunflower,Pharrell Williams,67,Hindi,Sleep Aid,Low,Yes,Devotional,8:53,Yes
424,Nuvole Bianche,Adele,102,Instrumental,Anxiety Relief,Low,No,Devotional,6:06,No
425,Hallelujah,Leonard Cohen,70,Korean,Anxiety Relief,Medium,Yes,Classical,7:38,Partial
426,Happy,Imagine Dragons,105,Instrumental,Anxiety Relief,High,Yes,Ambient,3:25,Yes
427,Hallelujah,Leonard Cohen,135,Instrumental,Period Pain Relief,Medium,Yes,Devotional,8:05,Yes
428,Nuvole Bianche,Post Malone,117,English,Sleep Aid,High,Yes,Pop,7:10,Partial
429,Raataan Lambiyan,Imagine Dragons,133,Hindi,Depression Support,Medium,Yes,Ambient,8:23,Yes
430,River Flows in You,Lady Gaga,156,Tamil,Sleep Aid,High,No,Lo-fi,4:54,No
431,Nuvole Bianche,Billie Eilish,59,Instrumental,Period Pain Relief,High,Yes,Ambient,2:26,No
432,Let It Be,Pharrell Williams,165,English,Depression Support,High,No,Classical,6:35,No
433,Shape of You,The Weeknd,117,English,Anxiety Relief,Low,Yes,Devotional,5:40,Yes
434,Kun Faya Kun,Imagine Dragons,134,English,Mood Boost,Medium,Yes,Lo-fi,6:27,Yes
435,Nuvole Bianche,Marconi Union,92,Hindi,Mood Boost,Low,No,Devotional,3:29,Partial
436,Nuvole Bianche,Adele,148,Tamil,Sleep Aid,High,No,Classical,7:16,No
437,Weightless,Leonard Cohen,152,Korean,Stress Relief,Medium,No,Ambient,4:38,Yes
438,Happy,Adele,144,Tamil,Period Pain Relief,High,Yes,Lo-fi,2:49,No
439,Kun Faya Kun,Imagine Dragons,155,English,Anxiety Relief,Medium,Yes,Devotional,7:30,Yes
440,A Sky Full of Stars,Ludovico Einaudi,106,Instrumental,Stress Relief,Medium,Yes,Lo-fi,2:52,Yes
441,Someone Like You,Billie Eilish,68,Korean,Anxiety Relief,Medium,Yes,Devotional,5:16,No
442,Kun Faya Kun,Arijit Singh,82,Tamil,Depression Support,Low,Yes,Ambient,3:45,Partial
443,Nuvole Bianche,Pharrell Williams,73,English,Period Pain Relief,Low,Yes,Classical,2:50,Yes
444,Raataan Lambiyan,The Weeknd,71,English,Anxiety Relief,High,Yes,Devotional,2:59,No
445,Sunflower,A R Rahman,131,Tamil,Anxiety Relief,Medium,No,Devotional,2:45,Partial
446,Lovely,Post Malone,133,Instrumental,Period Pain Relief,Low,Yes,Classical,8:49,No
447,Nuvole Bianche,Adele,100,Tamil,Period Pain Relief,Medium,Yes,Classical,5:20,No
448,Kun Faya Kun,Billie Eilish,82,Instrumental,Anxiety Relief,Low,No,Pop,8:36,No
449,Nuvole Bianche,The Weeknd,65,Korean,Mood Boost,Low,No,Devotional,3:29,Yes
450,Let It Be,Coldplay,104,Hindi,Depression Support,Low,No,Pop,4:36,Partial
451,Shape of You,Ludovico Einaudi,97,Tamil,Sleep Aid,Medium,No,Pop,3:50,No
452,Believer,Ludovico Einaudi,84,Tamil,Anxiety Relief,Medium,Yes,Classical,5:03,No
453,Let It Be,Coldplay,62,Tamil,Period Pain Relief,Low,Yes,Lo-fi,5:25,Partial
454,River Flows in You,Billie Eilish,100,English,Period Pain Relief,Medium,Yes,Ambient,5:38,Partial
455,Shallow,Post Malone,57,English,Anxiety Relief,High,No,Classical,6:54,Partial
456,Shape of You,Post Malone,111,Korean,Anxiety Relief,Low,Yes,Pop,5:15,Yes
457,Let It Be,The Beatles,123,Hindi,Period Pain Relief,Low,Yes,Lo-fi,6:39,Partial
458,Someone Like You,Arijit Singh,79,Instrumental,Depression Support,Low,No,Pop,2:46,Yes
459,Kun Faya Kun,Ed Sheeran,50,Hindi,Stress Relief,Low,Yes,Ambient,2:00,Partial
460,Someone Like You,Coldplay,140,English,Anxiety Relief,High,No,Devotional,5:25,Partial
461,Let It Be,The Weeknd,138,Hindi,Stress Relief,High,Yes,Lo-fi,6:26,Partial
462,Hallelujah,Adele,148,Instrumental,Stress Relief,Medium,No,Pop,7:11,Yes
463,Weightless,Adele,121,Korean,Depression Support,High,No,Acoustic,7:37,Partial
464,A Sky Full of Stars,The Beatles,144,Korean,Mood Boost,Medium,Yes,Classical,5:35,No
465,Hallelujah,Ed Sheeran,147,Korean,Depression Support,Low,Yes,Devotional,2:13,No
466,Sunflower,Adele,146,Tamil,Sleep Aid,High,No,Lo-fi,6:51,Yes
467,Blinding Lights,Coldplay,170,Korean,Depression Support,Medium,No,Devotional,5:56,No
468,Believer,Ludovico Einaudi,84,English,Period Pain Relief,Low,Yes,Ambient,4:01,Yes
469,Weightless,Ed Sheeran,146,Instrumental,Sleep Aid,Medium,Yes,Devotional,3:20,Yes
470,Nuvole Bianche,Pharrell Williams,75,Korean,Period Pain Relief,High,Yes,Lo-fi,8:58,Partial
471,Nuvole Bianche,Lady Gaga,131,Tamil,Period Pain Relief,High,Yes,Ambient,5:38,No
472,Fix You,Marconi Union,134,Instrumental,Mood Boost,High,No,Pop,7:58,Yes
473,Sunflower,Lady Gaga,62,Hindi,Depression Support,Low,No,Lo-fi,8:36,No
474,Sunflower,Ed Sheeran,105,English,Depression Support,High,Yes,Classical,2:02,Partial
475,Perfect,Marconi Union,71,Tamil,Depression Support,Low,Yes,Acoustic,4:42,Partial
476,Fix You,Post Malone,164,Instrumental,Depression Support,Low,No,Classical,2:47,No
477,A Sky Full of Stars,Marconi Union,99,Tamil,Stress Relief,Medium,No,Classical,4:59,Partial
478,Believer,Marconi Union,93,Instrumental,Stress Relief,Low,Yes,Acoustic,2:41,Yes
479,Someone Like You,Leonard Cohen,109,Instrumental,Anxiety Relief,High,No,Ambient,6:22,Yes
480,Fix You,Adele,138,Hindi,Stress Relief,Medium,Yes,Acoustic,7:17,No
481,Blinding Lights,Arijit Singh,151,Instrumental,Stress Relief,Medium,No,Lo-fi,7:26,Yes
482,Weightless,Arijit Singh,107,Hindi,Mood Boost,High,No,Ambient,8:53,Yes
483,Lovely,The Weeknd,161,Instrumental,Depression Support,Low,No,Pop,8:59,No
484,Kun Faya Kun,Leonard Cohen,76,Tamil,Sleep Aid,Medium,No,Acoustic,4:24,No
485,Nuvole Bianche,Coldplay,53,English,Period Pain Relief,Medium,Yes,Ambient,2:41,Partial
486,River Flows in You,Imagine Dragons,111,Korean,Anxiety Relief,Low,No,Pop,2:55,No
487,Hallelujah,Lady Gaga,137,Tamil,Stress Relief,Low,Yes,Lo-fi,2:07,No
488,Raataan Lambiyan,Imagine Dragons,83,Tamil,Period Pain Relief,Low,Yes,Pop,7:49,Partial
489,Shape of You,Post Malone,65,Tamil,Mood Boost,Medium,No,Classical,8:54,Yes
490,Ocean Eyes,Adele,83,Korean,Sleep Aid,High,Yes,Ambient,3:09,Partial
491,Fix You,Billie Eilish,106,Korean,Period Pain Relief,Low,Yes,Classical,2:12,Yes
492,Tum Hi Ho,Billie Eilish,79,English,Stress Relief,Low,No,Acoustic,6:18,No
493,Kun Faya Kun,The Beatles,59,Korean,Sleep Aid,Medium,Yes,Pop,5:03,No
494,Perfect,Ludovico Einaudi,97,English,Stress Relief,Medium,No,Devotional,4:43,No
495,Raataan Lambiyan,Arijit Singh,54,English,Depression Support,Medium,Yes,Classical,4:32,Yes
496,Weightless,Post Malone,62,Tamil,Depression Support,High,No,Acoustic,2:40,Partial
497,Tum Hi Ho,A R Rahman,90,Korean,Mood Boost,High,No,Devotional,8:04,No
498,Lovely,Ed Sheeran,72,Instrumental,Period Pain Relief,Medium,Yes,Lo-fi,5:35,No
499,Believer,Coldplay,123,Korean,Sleep Aid,Medium,Yes,Devotional,3:05,Yes
500,Blinding Lights,Ludovico Einaudi,93,Korean,Anxiety Relief,Medium,Yes,Lo-fi,8:21,Yes
501,Tum Hi Ho,The Weeknd,151,Tamil,Depression Support,Low,Yes,Devotional,2:27,Partial
502,Lovely,Imagine Dragons,115,Tamil,Sleep Aid,Low,No,Lo-fi,6:39,Partial
503,Shape of You,Imagine Dragons,79,Instrumental,Mood Boost,High,No,Lo-fi,7:30,Yes
504,Hallelujah,Imagine Dragons,118,English,Stress Relief,High,Yes,Ambient,7:45,No
505,Blinding Lights,Lady Gaga,170,Instrumental,Sleep Aid,Low,No,Devotional,3:11,Yes
506,Someone Like You,The Weeknd,124,Instrumental,Depression Support,High,No,Lo-fi,2:07,Yes
507,Let It Be,Leonard Cohen,158,Hindi,Mood Boost,Medium,No,Classical,6:15,No
508,Fix You,Arijit Singh,163,Korean,Mood Boost,Low,No,Devotional,3:55,Partial
509,Shape of You,Marconi Union,110,Hindi,Depression Support,Medium,No,Devotional,4:06,No
510,A Sky Full of Stars,Ludovico Einaudi,61,English,Anxiety Relief,Low,Yes,Classical,7:34,Partial
511,Blinding Lights,Pharrell Williams,155,Instrumental,Depression Support,High,No,Pop,8:36,No
512,Happy,Yiruma,119,Tamil,Anxiety Relief,High,No,Ambient,4:29,Partial
513,Shallow,Yiruma,163,Instrumental,Period Pain Relief,High,Yes,Pop,2:05,Yes
514,Happy,Arijit Singh,102,Hindi,Depression Support,High,No,Lo-fi,7:15,Partial
515,Perfect,Billie Eilish,61,Hindi,Sleep Aid,Medium,Yes,Acoustic,8:55,No
516,A Sky Full of Stars,Adele,61,Hindi,Depression Support,Medium,No,Pop,6:22,Partial
517,Kun Faya Kun,Pharrell Williams,106,Tamil,Mood Boost,Low,No,Acoustic,3:16,Yes
518,Kun Faya Kun,Pharrell Williams,169,Korean,Anxiety Relief,High,No,Devotional,5:22,Yes
519,Shallow,Ludovico Einaudi,138,English,Period Pain Relief,Low,Yes,Ambient,2:10,Yes
520,Kun Faya Kun,Lady Gaga,134,Instrumental,Depression Support,High,No,Classical,5:46,No
521,Ocean Eyes,A R Rahman,79,Tamil,Stress Relief,Low,Yes,Devotional,7:27,Partial
522,Happy,The Weeknd,158,Instrumental,Anxiety Relief,Medium,No,Classical,8:09,Yes
523,Let It Be,Imagine Dragons,145,Hindi,Sleep Aid,Low,No,Pop,4:14,No
524,Fix You,Imagine Dragons,64,Tamil,Stress Relief,Medium,Yes,Ambient,6:24,Partial
525,Raataan Lambiyan,Post Malone,150,English,Anxiety Relief,Low,No,Acoustic,6:58,No
526,Shallow,Lady Gaga,109,Tamil,Period Pain Relief,Low,Yes,Lo-fi,4:09,No
527,Blinding Lights,A R Rahman,94,Tamil,Anxiety Relief,Medium,Yes,Lo-fi,2:13,Yes
528,Shape of You,Pharrell Williams,63,English,Mood Boost,Low,Yes,Acoustic,6:04,No
529,Shallow,Ludovico Einaudi,91,Instrumental,Mood Boost,Low,No,Classical,2:44,Partial
530,Fix You,Pharrell Williams,128,Korean,Anxiety Relief,Low,No,Ambient,8:17,No
531,Nuvole Bianche,Arijit Singh,149,Tamil,Depression Support,Low,No,Acoustic,7:39,Partial
532,Sunflower,Ludovico Einaudi,99,Tamil,Mood Boost,Medium,Yes,Acoustic,6:35,Partial
533,Shallow,A R Rahman,111,Tamil,Depression Support,Medium,Yes,Devotional,2:27,Yes
534,Ocean Eyes,Billie Eilish,149,Instrumental,Stress Relief,High,Yes,Pop,5:39,No
535,Nuvole Bianche,Yiruma,126,English,Sleep Aid,Medium,No,Lo-fi,8:45,Yes
536,Perfect,Billie Eilish,111,Hindi,Sleep Aid,Low,No,Ambient,7:02,No
537,Perfect,Marconi Union,161,Tamil,Depression Support,Low,Yes,Ambient,7:19,Partial
538,Raataan Lambiyan,Pharrell Williams,66,Hindi,Sleep Aid,Low,No,Lo-fi,7:31,Yes
539,Believer,Billie Eilish,117,Tamil,Mood Boost,Low,Yes,Acoustic,8:40,Yes
540,Lovely,Post Malone,115,Hindi,Period Pain Relief,Low,Yes,Devotional,4:19,Yes
541,Perfect,Imagine Dragons,157,Instrumental,Stress Relief,High,Yes,Classical,3:28,Partial
542,Tum Hi Ho,Coldplay,113,Hindi,Mood Boost,Medium,Yes,Classical,2:55,Yes
543,Let It Be,Post Malone,62,Instrumental,Period Pain Relief,Low,Yes,Ambient,6:18,Partial
544,Blinding Lights,Ludovico Einaudi,117,Instrumental,Period Pain Relief,High,Yes,Devotional,5:57,No
545,Ocean Eyes,Ed Sheeran,167,English,Depression Support,High,No,Pop,8:21,Yes
546,River Flows in You,Post Malone,118,Hindi,Period Pain Relief,Low,Yes,Acoustic,5:37,Partial
547,Fix You,Post Malone,131,Instrumental,Period Pain Relief,Medium,Yes,Ambient,4:46,Partial
548,Raataan Lambiyan,Arijit Singh,57,Tamil,Depression Support,Medium,Yes,Pop,7:43,Yes
549,Blinding Lights,Pharrell Williams,162,Korean,Mood Boost,Medium,Yes,Acoustic,8:36,Yes
550,Lovely,The Weeknd,148,English,Period Pain Relief,High,Yes,Classical,7:00,Yes
551,Shape of You,Coldplay,121,Tamil,Depression Support,Medium,Yes,Classical,2:22,Partial
552,Let It Be,Ed Sheeran,152,Tamil,Anxiety Relief,Low,Yes,Lo-fi,3:14,Partial
553,Perfect,Billie Eilish,154,English,Depression Support,High,No,Lo-fi,6:31,Partial
554,Happy,A R Rahman,54,English,Stress Relief,High,No,Devotional,8:49,No
555,Happy,Yiruma,77,English,Depression Support,Medium,Yes,Acoustic,8:06,Partial
556,Fix You,A R Rahman,91,Instrumental,Period Pain Relief,High,Yes,Classical,8:34,Partial
557,Someone Like You,Pharrell Williams,147,Instrumental,Mood Boost,Low,No,Acoustic,8:34,Partial
558,Hallelujah,Ed Sheeran,80,Tamil,Depression Support,High,Yes,Lo-fi,6:47,Yes
559,Lovely,A R Rahman,67,English,Mood Boost,Low,No,Ambient,4:10,Partial
560,Nuvole Bianche,The Weeknd,86,Tamil,Anxiety Relief,High,Yes,Classical,2:54,Partial
561,Kun Faya Kun,Imagine Dragons,130,English,Sleep Aid,Low,Yes,Acoustic,8:39,Yes
